"Mean flow coefficient", "Friction coefficient",
               -1.23849,               +0.00000,
               -1.20000,               +0.01343,
               -1.15000,               +0.03860,
               -1.10000,               +0.06912,
               -1.05000,               +0.10383,
               -1.00000,               +0.14207,
               -0.95000,               +0.18344,
               -0.90000,               +0.22758,
               -0.85000,               +0.27427,
               -0.80000,               +0.32328,
               -0.75000,               +0.37445,
               -0.70000,               +0.42762,
               -0.65000,               +0.48267,
               -0.60000,               +0.53948,
               -0.55000,               +0.59794,
               -0.50000,               +0.65796,
               -0.45000,               +0.71946,
               -0.40000,               +0.78235,
               -0.35000,               +0.84657,
               -0.30000,               +0.91205,
               -0.25000,               +0.97872,
               -0.20000,               +1.04654,
               -0.15000,               +1.11545,
               -0.10000,               +1.18540,
               -0.05000,               +1.25634,
               +0.00000,               +1.32823,
               +0.05000,               +1.40103,
               +0.10000,               +1.47469,
               +0.15000,               +1.54919,
               +0.20000,               +1.62448,
               +0.25000,               +1.70054,
               +0.30000,               +1.77734,
               +0.35000,               +1.85484,
               +0.40000,               +1.93301,
               +0.45000,               +2.01184,
               +0.50000,               +2.09129,
               +0.60000,               +2.25198,
               +0.70000,               +2.41490,
               +0.80000,               +2.57988,
               +0.90000,               +2.74678,
               +1.00000,               +2.91547,
               +1.10000,               +3.08582,
               +1.20000,               +3.25772,
               +1.30000,               +3.43104,
               +1.40000,               +3.60574,
               +1.50000,               +3.78169,
               +2.00000,               +4.67770,
               +2.50000,               +5.59530,
               +3.00000,               +6.52890,
               +4.00000,               +8.42960,
               +5.00000,              +10.35960,
               +6.00000,              +12.30830,
              +10.00000,              +20.19410,
